Country,Code,Year,Subscription
Afghanistan,AFG,2018,0.043040552
Afghanistan,AFG,2012,0.004813651
Afghanistan,AFG,2014,0.004494948
Afghanistan,AFG,2016,0.024873504
Albania,ALB,2018,12.55565885
Albania,ALB,2012,5.493573307
Albania,ALB,2014,7.180321133
Albania,ALB,2016,9.228640975
Algeria,DZA,2018,7.262935415
Algeria,DZA,2012,3.08889162
Algeria,DZA,2014,4.109815688
Algeria,DZA,2016,7.051711073
Andorra,AND,2018,46.31197569
Andorra,AND,2012,32.64100355
Andorra,AND,2014,36.31979599
Andorra,AND,2016,42.03267915
Angola,AGO,2018,0.355604536
Angola,AGO,2012,0.081695302
Angola,AGO,2014,0.325702323
Angola,AGO,2016,0.293747187
Antigua and Barbuda,ATG,2012,14.45652535
Antigua and Barbuda,ATG,2014,11.61815864
Antigua and Barbuda,ATG,2016,9.7972008
Argentina,ARG,2018,19.10152239
Argentina,ARG,2012,12.33040075
Argentina,ARG,2014,15.29042819
Argentina,ARG,2016,16.66727115
Armenia,ARM,2018,11.7709355
Armenia,ARM,2012,7.352142718
Armenia,ARM,2014,9.369734814
Armenia,ARM,2016,10.18921762
Aruba,ABW,2014,18.50174417
Australia,AUS,2018,33.8471546
Australia,AUS,2012,25.03935129
Australia,AUS,2014,27.69911237
Australia,AUS,2016,30.39231558
Austria,AUT,2018,28.35440316
Austria,AUT,2012,25.05461216
Austria,AUT,2014,27.38179226
Austria,AUT,2016,28.84661223
Azerbaijan,AZE,2018,19.00503511
Azerbaijan,AZE,2012,14.78294152
Azerbaijan,AZE,2014,19.96786744
Azerbaijan,AZE,2016,18.52561662
Bahamas,BHS,2018,21.05814535
Bahamas,BHS,2012,21.43383647
Bahamas,BHS,2014,20.82059612
Bahamas,BHS,2016,22.52480618
Bahrain,BHR,2018,8.04844512
Bahrain,BHR,2012,22.72305576
Bahrain,BHR,2014,21.52364201
Bahrain,BHR,2016,16.29866067
Bangladesh,BGD,2018,4.990118524
Bangladesh,BGD,2012,0.397641178
Bangladesh,BGD,2014,2.001827212
Bangladesh,BGD,2016,4.173005954
Barbados,BRB,2018,31.16790689
Barbados,BRB,2012,23.57552494
Barbados,BRB,2014,27.29034568
Barbados,BRB,2016,30.4017551
Belarus,BLR,2018,33.86912852
Belarus,BLR,2012,26.88573466
Belarus,BLR,2014,28.46079751
Belarus,BLR,2016,32.47559748
Belgium,BEL,2018,39.21686286
Belgium,BEL,2012,33.3052753
Belgium,BEL,2014,35.74653262
Belgium,BEL,2016,37.60922178
Belize,BLZ,2018,6.436926836
Belize,BLZ,2012,2.950591716
Belize,BLZ,2014,2.801627774
Belize,BLZ,2016,4.987513572
Benin,BEN,2018,0.235384383
Benin,BEN,2012,0.429231485
Benin,BEN,2014,0.441525117
Benin,BEN,2016,0.20509447
Bermuda,BMU,2014,54.2392204
Bermuda,BMU,2016,35.97897794
Bhutan,BTN,2018,1.43188916
Bhutan,BTN,2012,2.389745446
Bhutan,BTN,2014,3.473865003
Bhutan,BTN,2016,2.23820021
Bolivia,BOL,2018,4.4401541
Bolivia,BOL,2012,1.124606318
Bolivia,BOL,2014,1.613811476
